iter	RMSE
0	0.5355300548
1	0.5089960224
2	0.4826560543
3	0.4602787354
4	0.4404234554
5	0.4236983977
6	0.4077752038
7	0.392725702
8	0.3800039282
9	0.3696018675
10	0.3598128381
11	0.3502318293
12	0.3425150278
13	0.336754799
14	0.3298373455
15	0.3233827
16	0.3173923273
17	0.3117313067
18	0.3069920943
19	0.302597847
20	0.2986665972
21	0.2955434848
22	0.2918951285
23	0.28857613
24	0.2849342288
25	0.28133687
26	0.2795435389
27	0.2771732101
28	0.2746947527
29	0.2715110476
30	0.2692277065
31	0.267456287
32	0.2654842168
33	0.2631661134
34	0.2620740327
35	0.2602620269
36	0.2584772486
37	0.2555265667
38	0.2542450143
39	0.2531734377
40	0.2506662718
41	0.2496136094
42	0.2476248014
43	0.2457515196
44	0.2444596732
45	0.2427926638
46	0.2411498579
47	0.2397023833
48	0.2383773698
49	0.2369661906
50	0.2356380557
51	0.2336353983
52	0.2320799647
53	0.2307878333
54	0.2291711725
55	0.2278699335
56	0.2267609885
57	0.2255617175
58	0.2244437891
59	0.223229897
60	0.2220395457
61	0.2210563156
62	0.2198822256
63	0.2189610205
64	0.2177580943
65	0.2167197343
66	0.2159345738
67	0.2147344266
68	0.2136653335
69	0.212588483
70	0.2113214273
71	0.210104973
72	0.2086507908
73	0.2076235138
74	0.2068093231
75	0.2060215274
76	0.2051461447
77	0.2045871224
78	0.2040255322
79	0.2033550326
80	0.2022030031
81	0.2011824323
82	0.2006023625
83	0.1999651635
84	0.1984340621
85	0.1978585981
86	0.1971202539
87	0.1958888651
88	0.1951867738
89	0.1945074962
90	0.1936181381
91	0.1929004542
92	0.1920329862
93	0.1915893336
94	0.1900724301
95	0.1888875661
96	0.1882145766
97	0.1875115522
98	0.1868121895
99	0.1860972255
