iter	Passed	Remaining
0	134	13285
1	136	6708
2	139	4505
3	142	3413
4	144	2745
5	146	2298
6	149	1986
7	151	1747
8	155	1570
9	157	1420
10	160	1300
11	163	1200
12	165	1110
13	169	1038
14	171	972
15	174	917
16	177	865
17	180	823
18	183	781
19	191	765
20	195	734
21	197	701
22	201	675
23	204	647
24	208	624
25	210	599
26	214	579
27	217	558
28	220	540
29	223	521
30	227	505
31	229	488
32	232	471
33	236	458
34	238	443
35	241	429
36	243	415
37	247	403
38	249	390
39	252	379
40	255	368
41	260	359
42	263	348
43	266	339
44	268	328
45	272	319
46	276	311
47	280	303
48	283	295
49	287	287
50	290	279
51	294	271
52	297	264
53	300	256
54	303	248
55	306	240
56	311	234
57	314	227
58	325	226
59	327	218
60	331	211
61	333	204
62	337	198
63	340	191
64	344	185
65	346	178
66	349	172
67	351	165
68	353	159
69	358	153
70	360	147
71	364	141
72	367	135
73	371	130
74	374	124
75	378	119
76	382	114
77	385	108
78	388	103
79	391	97
80	394	92
81	399	87
82	402	82
83	405	77
84	408	72
85	411	66
86	414	61
87	418	57
88	423	52
89	425	47
90	429	42
91	432	37
92	437	32
93	439	28
94	444	23
95	446	18
96	450	13
97	453	9
98	457	4
99	459	0
