,Region,latitude,longtitude
0,Arcos de Valdevez,41.8471981,-8.417882
1,Caminha,41.8757598,-8.8388375
2,Melgaço,42.1130412,-8.2593422
3,Monção,-3.4842036,-45.2515472
4,Paredes de Coura,41.9133898,-8.5639626
5,Ponte da Barca,41.8076477,-8.416428
6,Ponte de Lima,41.7675021,-8.5830992
7,Valença,44.9332277,4.8920811
8,Viana do Castelo,41.694867,-8.831088
9,Vila Nova de Cerveira,41.9403912,-8.7436068
10,Amares,41.6517472,-8.344648
11,Barcelos,41.5314496,-8.6192306
12,Braga,41.5510583,-8.4280045
13,Esposende,41.5315251,-8.7792538
14,Terras de Bouro,41.7190293,-8.3083026
15,Vila Verde,41.6488247,-8.4362569
16,Cabeceiras de Basto,41.5136392,-7.9878132
17,Fafe,41.451406,-8.1708502
18,Guimarães,41.4417677,-8.2955712
19,Mondim de Basto,41.4102874,-7.9533527
20,Póvoa de Lanhoso,41.5759516,-8.2699521
21,Vieira do Minho,41.6347151,-8.1425725
22,Vila Nova de Famalicão,41.4064621,-8.5187849
23,Vizela,41.3767158,-8.3083651
24,Arouca,40.9289214,-8.2441746
25,Espinho,41.0083643,-8.6394111
26,Gondomar,41.1398199,-8.5326269
27,Maia,41.2373456,-8.6299982
28,Matosinhos,41.1806814,-8.6821998
29,Oliveira de Azeméis,40.8390118,-8.4777807
30,Paredes,40.0659163,-2.8544122
31,Porto,41.1502195,-8.6103497
32,Póvoa de Varzim,41.3794188,-8.7598689
33,Santa Maria da Feira,40.9254179,-8.5426688
34,Santo Tirso,41.3440057,-8.4772021
35,São João da Madeira,40.897404,-8.4906838
36,Trofa,41.3363471,-8.5585061
37,Vale de Cambra,40.8498115,-8.3939142
38,Valongo,41.1909794,-8.4980511
39,Vila do Conde,41.3540398,-8.7435403
40,Vila Nova de Gaia,41.1292264,-8.6057396
41,Boticas,41.6881921,-7.6645346
42,Chaves,41.7399003,-7.4715213
43,Montalegre,41.8232206,-7.7923142
44,Ribeira de Pena,41.5217103,-7.795143
45,Valpaços,41.6067883,-7.3108525
46,Vila Pouca de Aguiar,41.5007614,-7.6442868
47,Amarante,41.2699316,-8.0804563
48,Baião,41.1616306,-8.0355439
49,Castelo de Paiva,41.0410042,-8.271775
50,Celorico de Basto,41.3879363,-8.0002089
51,Cinfães,41.0326797,-8.1080075
52,Felgueiras,41.3648572,-8.1989013
53,Lousada,41.2773789,-8.2826293
54,Marco de Canaveses,41.1616546,-8.127792
55,Paços de Ferreira,41.290118,-8.378194
56,Penafiel,41.2061892,-8.2855653
57,Resende,-22.4418699,-44.4204847
58,Alijó,41.2768619,-7.4753795
59,Armamar,41.1077323,-7.691601
60,Carrazeda de Ansiães,41.2435491,-7.3054015
61,Lamego,41.098527,-7.8105708
62,Mesão Frio,41.1604717,-7.8883733
63,Moimenta da Beira,40.9846411,-7.6185527
64,Murça,41.4259146,-7.4655695
65,Peso da Régua,41.1637043,-7.7875821
66,Sabrosa,41.2663847,-7.5757615
67,Santa Marta de Penaguião,41.2100446,-7.78473
68,São João da Pesqueira,41.147872,-7.4038806
69,Sernancelhe,40.9174488,-7.5119079
70,Tabuaço,41.1173591,-7.5662701
71,Tarouca,41.01624,-7.7752378
72,Torre de Moncorvo,41.1739499,-7.0526159
73,Vila Nova de Foz Côa,41.0818397,-7.1424138
74,Vila Real,39.9372616,-0.1004465
75,Alfândega da Fé,41.3419743,-6.9611439
76,Bragança,41.5084468,-6.7733024
77,Macedo de Cavaleiros,41.5362124,-6.9560267
78,Miranda do Douro,41.5000816,-6.271331
79,Mirandela,41.489615,-7.1774792
80,Mogadouro,41.3418708,-6.7121674
81,Vila Flor,41.3067941,-7.1517712
82,Vinhais,41.8336062,-7.007716
83,Águeda,40.5785006,-8.4438017
84,Albergaria-a-Velha,40.6906888,-8.4792205
85,Anadia,40.4426833,-8.4359581
86,Aveiro,40.640496,-8.6537841
87,Estarreja,40.7523494,-8.5703455
88,Ílhavo,40.6001108,-8.6666667
89,Murtosa,40.7606571,-8.6717057
90,Oliveira do Bairro,40.5138208,-8.4928163
91,Ovar,48.1523759,19.4098988
92,Sever do Vouga,40.7341518,-8.3700099
93,Vagos,40.5538919,-8.680915
94,Arganil,40.2202451,-7.9807002
95,Cantanhede,40.3461879,-8.5940128
96,Coimbra,40.2111931,-8.4294632
97,Condeixa-a-Nova,40.1138729,-8.4986318
98,Figueira da Foz,40.1485808,-8.855655
99,Góis,40.1546195,-8.1099454
100,Lousã,40.1111532,-8.2461629
101,Mealhada,40.3792003,-8.4517733
102,Mira,39.7210593,-1.4395226
103,Miranda do Corvo,40.0941517,-8.3336555
104,Montemor-o-Velho,40.172664,-8.6845418
105,Mortágua,40.3972486,-8.2287169
106,Oliveira do Hospital,40.3791857,-7.8572148
107,Pampilhosa da Serra,40.0462933,-7.9506309
108,Penacova,40.2702086,-8.2810743
109,Penela,40.029442,-8.3902395
110,Soure,-0.7275759,-48.5189785
111,Tábua,40.3602946,-8.0284641
112,Vila Nova de Poiares,40.2105771,-8.2588888
113,Alvaiázere,39.8161333,-8.4020506
114,Ansião,39.9113771,-8.4359857
115,Batalha,39.6578998,-8.8243713
116,Castanheira de Pêra,40.0047265,-8.2091368
117,Figueiró dos Vinhos,39.9024537,-8.2753006
