﻿01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Âmbito Geográfico,05. Filtro 1,06. Filtro 2,07. Filtro 3,09. Símbolo,10. Valor,Max. 08. Escala 
1990.0,Alemanha,,,,,,,222.2, pessoas por km2
1990.0,Áustria,,,,,,,93.0, pessoas por km2
1990.0,Bélgica,,,,,,,328.7, pessoas por km2
1990.0,Bulgária,,,,,,,77.4, pessoas por km2
1990.0,Chéquia,,,,,,x,, pessoas por km2
1990.0,Chipre,,,,,,,62.7, pessoas por km2
1990.0,Croácia,,,,,,x,, pessoas por km2
1990.0,Dinamarca,,,,,,,119.3, pessoas por km2
1990.0,Eslováquia,,,,,,,108.1, pessoas por km2
1990.0,Eslovénia,,,,,,,98.6, pessoas por km2
1990.0,Espanha,,,,,,,76.8, pessoas por km2
1990.0,Estónia,,,,,,,36.1, pessoas por km2
1990.0,Finlândia,,,,,,,16.4, pessoas por km2
1990.0,França,,,,,,,91.9, pessoas por km2
1990.0,Grécia,,,,,,,77.9, pessoas por km2
1990.0,Hungria,,,,,,,111.4, pessoas por km2
1990.0,Irlanda,,,,,,,51.3, pessoas por km2
1990.0,Itália,,,,,,,188.2, pessoas por km2
1990.0,Letónia,,,,,,,42.8, pessoas por km2
1990.0,Lituânia,,,,,,,56.6, pessoas por km2
1990.0,Luxemburgo,,,,,,,147.7, pessoas por km2
1990.0,Malta,,,,,,,1122.2, pessoas por km2
1990.0,Países Baixos,,,,,,,440.5, pessoas por km2
1990.0,Polónia,,,,,,,121.9, pessoas por km2
1990.0,Portugal,,,,,,,108.3, pessoas por km2
1990.0,Roménia,,,,,,,101.2, pessoas por km2
1990.0,Suécia,,,,,,,19.4, pessoas por km2
1991.0,Alemanha,,,,,,,224.1, pessoas por km2
1991.0,Áustria,,,,,,,94.0, pessoas por km2
1991.0,Bélgica,,,,,,,329.9, pessoas por km2
1991.0,Bulgária,,,,,,,76.7, pessoas por km2
1991.0,Chéquia,,,,,,x,, pessoas por km2
1991.0,Chipre,,,,,,,64.3, pessoas por km2
1991.0,Croácia,,,,,,x,, pessoas por km2
1991.0,Dinamarca,,,,,,,119.6, pessoas por km2
1991.0,Eslováquia,,,,,,,108.2, pessoas por km2
1991.0,Eslovénia,,,,,,,98.7, pessoas por km2
1991.0,Espanha,,,,,,,77.0, pessoas por km2
1991.0,Estónia,,,,,,,35.9, pessoas por km2
1991.0,Finlândia,,,,,,,16.5, pessoas por km2
1991.0,França,,,,,,,92.4, pessoas por km2
1991.0,Grécia,,,,,,,78.9, pessoas por km2
1991.0,Hungria,,,,,,,111.2, pessoas por km2
1991.0,Irlanda,,,,,,,51.5, pessoas por km2
1991.0,Itália,,,,,,,188.4, pessoas por km2
1991.0,Letónia,,,,,,,42.6, pessoas por km2
1991.0,Lituânia,,,,,,,56.7, pessoas por km2
1991.0,Luxemburgo,,,,,,,149.7, pessoas por km2
1991.0,Malta,,,,,,,1133.5, pessoas por km2
1991.0,Países Baixos,,,,,,,444.0, pessoas por km2
1991.0,Polónia,,,,,,,122.3, pessoas por km2
1991.0,Portugal,,,,,,,108.0, pessoas por km2
1991.0,Roménia,,,,,,,101.0, pessoas por km2
1991.0,Suécia,,,,,,,19.5, pessoas por km2
1992.0,Alemanha,,,,,,,225.8, pessoas por km2
1992.0,Áustria,,,,,,,95.0, pessoas por km2
1992.0,Bélgica,,,,,,,331.2, pessoas por km2
1992.0,Bulgária,,,,,,,75.9, pessoas por km2
1992.0,Chéquia,,,,,,,133.5, pessoas por km2
1992.0,Chipre,,,,,,,66.1, pessoas por km2
1992.0,Croácia,,,,,,x,, pessoas por km2
1992.0,Dinamarca,,,,,,,120.0, pessoas por km2
1992.0,Eslováquia,,,,,,,108.2, pessoas por km2
1992.0,Eslovénia,,,,,,,98.4, pessoas por km2
1992.0,Espanha,,,,,,,77.4, pessoas por km2
1992.0,Estónia,,,,,,,35.3, pessoas por km2
1992.0,Finlândia,,,,,,,16.6, pessoas por km2
1992.0,França,,,,,,,92.8, pessoas por km2
1992.0,Grécia,,,,,,,79.5, pessoas por km2
1992.0,Hungria,,,,,,,111.0, pessoas por km2
1992.0,Irlanda,,,,,,,52.0, pessoas por km2
1992.0,Itália,,,,,,,192.5, pessoas por km2
1992.0,Letónia,,,,,,,42.0, pessoas por km2
1992.0,Lituânia,,,,,,,56.7, pessoas por km2
1992.0,Luxemburgo,,,,,,,151.7, pessoas por km2
1992.0,Malta,,,,,,,1144.7, pessoas por km2
1992.0,Países Baixos,,,,,,,447.4, pessoas por km2
1992.0,Polónia,,,,,,,122.7, pessoas por km2
1992.0,Portugal,,,,,,,108.9, pessoas por km2
1992.0,Roménia,,,,,,,99.3, pessoas por km2
1992.0,Suécia,,,,,,,21.1, pessoas por km2
1993.0,Alemanha,,,,,,,227.3, pessoas por km2
1993.0,Áustria,,,,,,,95.8, pessoas por km2
1993.0,Bélgica,,,,,,,332.5, pessoas por km2
1993.0,Bulgária,,,,,,,75.3, pessoas por km2
1993.0,Chéquia,,,,,,,133.7, pessoas por km2
1993.0,Chipre,,,,,,,67.7, pessoas por km2
1993.0,Croácia,,,,,,x,, pessoas por km2
1993.0,Dinamarca,,,,,,,120.4, pessoas por km2
1993.0,Eslováquia,,,,,,,108.6, pessoas por km2
1993.0,Eslovénia,,,,,,,98.2, pessoas por km2
1993.0,Espanha,,,,,,,77.8, pessoas por km2
1993.0,Estónia,,,,,,,34.4, pessoas por km2
1993.0,Finlândia,,,,,,,16.6, pessoas por km2
1993.0,França,,,,,,,93.2, pessoas por km2
1993.0,Grécia,,,,,,,80.0, pessoas por km2
1993.0,Hungria,,,,,,,110.6, pessoas por km2
1993.0,Irlanda,,,,,,,52.3, pessoas por km2
1993.0,Itália,,,,,,,192.6, pessoas por km2
1993.0,Letónia,,,,,,,41.2, pessoas por km2
1993.0,Lituânia,,,,,,,56.4, pessoas por km2
1993.0,Luxemburgo,,,,,,,153.7, pessoas por km2
1993.0,Malta,,,,,,,1155.6, pessoas por km2
1993.0,Países Baixos,,,,,,,450.5, pessoas por km2
1993.0,Polónia,,,,,,,123.0, pessoas por km2
1993.0,Portugal,,,,,,,108.8, pessoas por km2
1993.0,Roménia,,,,,,,99.2, pessoas por km2
1993.0,Suécia,,,,,,,21.2, pessoas por km2
1994.0,Alemanha,,,,,,,228.1, pessoas por km2
1994.0,Áustria,,,,,,,96.2, pessoas por km2
1994.0,Bélgica,,,,,,,333.5, pessoas por km2
1994.0,Bulgária,,,,,,,75.0, pessoas por km2
1994.0,Chéquia,,,,,,,133.7, pessoas por km2
1994.0,Chipre,,,,,,,69.1, pessoas por km2
1994.0,Croácia,,,,,,x,, pessoas por km2
1994.0,Dinamarca,,,,,,,120.8, pessoas por km2
1994.0,Eslováquia,,,,,,,109.0, pessoas por km2
1994.0,Eslovénia,,,,,,,98.1, pessoas por km2
1994.0,Espanha,,,,,,,78.2, pessoas por km2
1994.0,Estónia,,,,,,,33.7, pessoas por km2
1994.0,Finlândia,,,,,,,16.7, pessoas por km2
1994.0,França,,,,,,,93.6, pessoas por km2
1994.0,Grécia,,,,,,,80.4, pessoas por km2
1994.0,Hungria,,,,,,,110.3, pessoas por km2
1994.0,Irlanda,,,,,,,52.4, pessoas por km2
1994.0,Itália,,,,,,,192.6, pessoas por km2
1994.0,Letónia,,,,,,,40.5, pessoas por km2
1994.0,Lituânia,,,,,,,56.0, pessoas por km2
1994.0,Luxemburgo,,,,,,,155.8, pessoas por km2
1994.0,Malta,,,,,,,1165.9, pessoas por km2
1994.0,Países Baixos,,,,,,,453.2, pessoas por km2
1994.0,Polónia,,,,,,,123.3, pessoas por km2
1994.0,Portugal,,,,,,,109.1, pessoas por km2
1994.0,Roménia,,,,,,,98.8, pessoas por km2
1994.0,Suécia,,,,,,,21.4, pessoas por km2
1995.0,Alemanha,,,,,,,228.8, pessoas por km2
1995.0,Áustria,,,,,,,96.3, pessoas por km2
1995.0,Bélgica,,,,,,,334.2, pessoas por km2
1995.0,Bulgária,,,,,,,74.7, pessoas por km2
1995.0,Chéquia,,,,,,,133.7, pessoas por km2
1995.0,Chipre,,,,,,,70.4, pessoas por km2
1995.0,Croácia,,,,,,x,, pessoas por km2
1995.0,Dinamarca,,,,,,,121.3, pessoas por km2
1995.0,Eslováquia,,,,,,,109.6, pessoas por km2
1995.0,Eslovénia,,,,,,,98.0, pessoas por km2
1995.0,Espanha,,,,,,,78.5, pessoas por km2
1995.0,Estónia,,,,,,,33.1, pessoas por km2
1995.0,Finlândia,,,,,,,16.8, pessoas por km2
1995.0,França,,,,,,,93.9, pessoas por km2
1995.0,Grécia,,,,,,,80.7, pessoas por km2
1995.0,Hungria,,,,,,,110.0, pessoas por km2
1995.0,Irlanda,,,,,,,52.7, pessoas por km2
1995.0,Itália,,,,,,,192.6, pessoas por km2
1995.0,Letónia,,,,,,,39.9, pessoas por km2
1995.0,Lituânia,,,,,,,57.9, pessoas por km2
1995.0,Luxemburgo,,,,,,,158.0, pessoas por km2
1995.0,Malta,,,,,,,1173.8, pessoas por km2
1995.0,Países Baixos,,,,,,,456.2, pessoas por km2
1995.0,Polónia,,,,,,,123.4, pessoas por km2
1995.0,Portugal,,,,,,,109.5, pessoas por km2
1995.0,Roménia,,,,,,,98.6, pessoas por km2
1995.0,Suécia,,,,,,,21.5, pessoas por km2
1996.0,Alemanha,,,,,,,229.4, pessoas por km2
1996.0,Áustria,,,,,,,96.5, pessoas por km2
1996.0,Bélgica,,,,,,,334.9, pessoas por km2
1996.0,Bulgária,,,,,,,75.7, pessoas por km2
1996.0,Chéquia,,,,,,,133.5, pessoas por km2
1996.0,Chipre,,,,,,,71.5, pessoas por km2
1996.0,Croácia,,,,,,x,, pessoas por km2
1996.0,Dinamarca,,,,,,,122.1, pessoas por km2
1996.0,Eslováquia,,,,,,,109.6, pessoas por km2
1996.0,Eslovénia,,,,,,,98.2, pessoas por km2
1996.0,Espanha,,,,,,,78.8, pessoas por km2
1996.0,Estónia,,,,,,,32.6, pessoas por km2
1996.0,Finlândia,,,,,,,16.8, pessoas por km2
1996.0,França,,,,,,,94.2, pessoas por km2
1996.0,Grécia,,,,,,,81.1, pessoas por km2
1996.0,Hungria,,,,,,,109.6, pessoas por km2
1996.0,Irlanda,,,,,,,53.2, pessoas por km2
1996.0,Itália,,,,,,,192.7, pessoas por km2
1996.0,Letónia,,,,,,,39.4, pessoas por km2
1996.0,Lituânia,,,,,,,57.5, pessoas por km2
1996.0,Luxemburgo,,,,,,,160.2, pessoas por km2
1996.0,Malta,,,,,,,1180.9, pessoas por km2
1996.0,Países Baixos,,,,,,,458.3, pessoas por km2
1996.0,Polónia,,,,,,,123.5, pessoas por km2
1996.0,Portugal,,,,,,,109.9, pessoas por km2
1996.0,Roménia,,,,,,,98.4, pessoas por km2
1996.0,Suécia,,,,,,,21.5, pessoas por km2
1997.0,Alemanha,,,,,,,229.8, pessoas por km2
1997.0,Áustria,,,,,,,96.6, pessoas por km2
1997.0,Bélgica,,,,,,,335.7, pessoas por km2
1997.0,Bulgária,,,,,,,75.1, pessoas por km2
1997.0,Chéquia,,,,,,,133.3, pessoas por km2
1997.0,Chipre,,,,,,,72.5, pessoas por km2
1997.0,Croácia,,,,,,x,, pessoas por km2
1997.0,Dinamarca,,,,,,,122.6, pessoas por km2
1997.0,Eslováquia,,,,,,,109.8, pessoas por km2
1997.0,Eslovénia,,,,,,,98.6, pessoas por km2
1997.0,Espanha,,,,,,,79.2, pessoas por km2
1997.0,Estónia,,,,,,,32.2, pessoas por km2
1997.0,Finlândia,,,,,,,16.9, pessoas por km2
1997.0,França,,,,,,,94.5, pessoas por km2
1997.0,Grécia,,,,,,,81.5, pessoas por km2
1997.0,Hungria,,,,,,,109.2, pessoas por km2
1997.0,Irlanda,,,,,,,53.7, pessoas por km2
1997.0,Itália,,,,,,,192.8, pessoas por km2
1997.0,Letónia,,,,,,,39.1, pessoas por km2
1997.0,Lituânia,,,,,,,57.0, pessoas por km2
1997.0,Luxemburgo,,,,,,,162.2, pessoas por km2
1997.0,Malta,,,,,,,1189.0, pessoas por km2
1997.0,Países Baixos,,,,,,,460.7, pessoas por km2
1997.0,Polónia,,,,,,,123.6, pessoas por km2
1997.0,Portugal,,,,,,,110.0, pessoas por km2
1997.0,Roménia,,,,,,,98.1, pessoas por km2
1997.0,Suécia,,,,,,,21.5, pessoas por km2
1998.0,Alemanha,,,,,,,229.7, pessoas por km2
1998.0,Áustria,,,,,,,96.7, pessoas por km2
1998.0,Bélgica,,,,,,,336.4, pessoas por km2
1998.0,Bulgária,,,,,,,74.4, pessoas por km2
1998.0,Chéquia,,,,,,,133.2, pessoas por km2
1998.0,Chipre,,,,,,,73.4, pessoas por km2
1998.0,Croácia,,,,,,x,, pessoas por km2
1998.0,Dinamarca,,,,,,,123.1, pessoas por km2
1998.0,Eslováquia,,,,,,,109.9, pessoas por km2
1998.0,Eslovénia,,,,,,,98.4, pessoas por km2
1998.0,Espanha,,,,,,,79.5, pessoas por km2
1998.0,Estónia,,,,,,,31.9, pessoas por km2
1998.0,Finlândia,,,,,,,16.9, pessoas por km2
1998.0,França,,,,,,,94.9, pessoas por km2
1998.0,Grécia,,,,,,,81.9, pessoas por km2
1998.0,Hungria,,,,,,,108.7, pessoas por km2
1998.0,Irlanda,,,,,,,54.3, pessoas por km2
1998.0,Itália,,,,,,,192.8, pessoas por km2
