municipality,year,< 5,5 - 19,20 - 34,35 - 54,55 - 64,> 65
Abrantes,2019,1078.0,4361.0,4136.0,9161.0,5522.0,10673.0
Abrantes,2020,1066.0,4211.0,4220.0,8859.0,5516.0,10686.0
Abrantes,2021,1016.0,4104.0,4245.0,8611.0,5474.0,10722.0
Abrantes,2022,1015.0,4016.0,4225.0,8512.0,5389.0,10701.0
Abrantes,2023,1003.0,3991.0,4429.0,8290.0,5360.0,10738.0
Aguiar da Beira,2019,124.0,551.0,584.0,1216.0,908.0,1989.0
Aguiar da Beira,2020,122.0,531.0,592.0,1141.0,893.0,2070.0
Aguiar da Beira,2021,130.0,514.0,639.0,1115.0,872.0,2044.0
Aguiar da Beira,2022,138.0,494.0,671.0,1139.0,827.0,2015.0
Aguiar da Beira,2023,139.0,515.0,702.0,1137.0,819.0,1990.0
Alandroal,2019,152.0,584.0,585.0,1344.0,804.0,1615.0
Alandroal,2020,144.0,586.0,566.0,1337.0,806.0,1597.0
Alandroal,2021,142.0,586.0,597.0,1333.0,809.0,1564.0
Alandroal,2022,135.0,585.0,605.0,1323.0,810.0,1551.0
Alandroal,2023,135.0,571.0,635.0,1291.0,824.0,1540.0
Albergaria-a-Velha,2019,1007.0,3635.0,3820.0,7429.0,3436.0,5518.0
Albergaria-a-Velha,2020,1025.0,3544.0,3934.0,7315.0,3525.0,5654.0
Albergaria-a-Velha,2021,1012.0,3510.0,4007.0,7292.0,3618.0,5762.0
Albergaria-a-Velha,2022,976.0,3492.0,4067.0,7254.0,3669.0,5866.0
Albergaria-a-Velha,2023,966.0,3538.0,4230.0,7305.0,3719.0,6021.0
Albufeira,2019,2107.0,6651.0,8219.0,13897.0,6171.0,7419.0
Albufeira,2020,2080.0,6515.0,7951.0,13663.0,6241.0,7935.0
Albufeira,2021,2107.0,6546.0,7796.0,13652.0,6340.0,8266.0
Albufeira,2022,2212.0,6866.0,8199.0,14062.0,6525.0,8649.0
Albufeira,2023,2346.0,7001.0,8317.0,14207.0,6648.0,9005.0
Alcanena,2019,455.0,1750.0,1579.0,3379.0,1883.0,3521.0
Alcanena,2020,447.0,1729.0,1603.0,3332.0,1879.0,3581.0
Alcanena,2021,417.0,1733.0,1628.0,3302.0,1867.0,3598.0
Alcanena,2022,416.0,1757.0,1653.0,3296.0,1840.0,3652.0
Alcanena,2023,416.0,1752.0,1742.0,3296.0,1843.0,3701.0
Alcobaça,2019,1985.0,7597.0,7976.0,15297.0,7856.0,13855.0
Alcobaça,2020,2054.0,7410.0,8370.0,15193.0,8034.0,14226.0
Alcobaça,2021,2047.0,7375.0,8598.0,15091.0,8156.0,14468.0
Alcobaça,2022,2121.0,7316.0,8832.0,15118.0,8242.0,14710.0
Alcobaça,2023,2184.0,7319.0,9262.0,15166.0,8398.0,15029.0
Alcochete,2019,888.0,3592.0,2675.0,6383.0,2148.0,3297.0
Alcochete,2020,871.0,3572.0,2777.0,6415.0,2241.0,3406.0
Alcochete,2021,837.0,3557.0,2854.0,6386.0,2336.0,3498.0
Alcochete,2022,824.0,3574.0,2969.0,6385.0,2490.0,3581.0
Alcochete,2023,825.0,3558.0,3100.0,6351.0,2610.0,3657.0
Alcoutim,2019,52.0,201.0,246.0,496.0,354.0,1238.0
Alcoutim,2020,51.0,191.0,257.0,487.0,352.0,1206.0
Alcoutim,2021,48.0,190.0,275.0,474.0,352.0,1173.0
Alcoutim,2022,45.0,184.0,298.0,453.0,343.0,1135.0
Alcoutim,2023,42.0,184.0,301.0,437.0,334.0,1115.0
Alcácer do Sal,2019,364.0,1475.0,1368.0,2908.0,1789.0,3485.0
Alcácer do Sal,2020,352.0,1449.0,1351.0,2845.0,1738.0,3511.0
Alcácer do Sal,2021,348.0,1427.0,1371.0,2801.0,1676.0,3492.0
Alcácer do Sal,2022,368.0,1395.0,1389.0,2764.0,1635.0,3505.0
Alcácer do Sal,2023,380.0,1378.0,1414.0,2757.0,1579.0,3574.0
Alenquer,2019,2172.0,7110.0,6937.0,13377.0,5418.0,8725.0
Alenquer,2020,2158.0,7212.0,7213.0,13594.0,5526.0,8997.0
Alenquer,2021,2174.0,7339.0,7571.0,13814.0,5769.0,9229.0
Alenquer,2022,2150.0,7443.0,7835.0,14103.0,5908.0,9480.0
Alenquer,2023,2184.0,7570.0,8289.0,14436.0,6101.0,9739.0
Alfândega da Fé,2019,124.0,429.0,539.0,939.0,771.0,1625.0
Alfândega da Fé,2020,122.0,408.0,542.0,890.0,754.0,1630.0
Alfândega da Fé,2021,123.0,388.0,544.0,862.0,761.0,1593.0
Alfândega da Fé,2022,129.0,384.0,557.0,857.0,718.0,1600.0
