year,municipality,people/km2
2019,Abrantes,48.9
2019,Águeda,137.8
2019,Aguiar da Beira,26.0
2019,Alandroal,9.4
2019,Albergaria-a-Velha,156.4
2019,Albufeira,316.1
2019,Alcácer do Sal,7.6
2019,Alcanena,98.7
2019,Alcobaça,133.7
2019,Alcochete,147.9
2019,Alcoutim,4.5
2019,Alenquer,143.8
2019,Alfândega da Fé,13.8
2019,Alijó,35.6
2019,Aljezur,18.3
2019,Aljustrel,19.3
2019,Almada,2539.7
2019,Almeida,11.5
2019,Almeirim,99.4
2019,Almodôvar,8.7
2019,Alpiarça,72.4
2019,Alter do Chão,8.6
2019,Alvaiázere,39.1
2019,Alvito,8.5
2019,Amadora,7292.4
2019,Amarante,173.6
2019,Amares,225.4
2019,Anadia,127.1
2019,Angra do Heroísmo,142.0
2019,Ansião,66.6
2019,Arcos de Valdevez,46.6
2019,Arganil,33.4
2019,Armamar,48.8
2019,Arouca,64.7
2019,Arraiolos,9.7
2019,Arronches,9.1
2019,Arruda dos Vinhos,177.0
2019,Aveiro,412.8
2019,Avis,6.3
2019,Azambuja,81.3
2019,Baião,102.1
2019,Barcelos,308.6
2019,Barrancos,9.2
2019,Barreiro,2165.3
2019,Batalha,149.3
2019,Beja,29.6
2019,Belmonte,51.9
2019,Benavente,55.9
2019,Bombarral,136.4
2019,Borba,44.8
2019,Boticas,15.8
2019,Braga,1050.6
2019,Bragança,29.8
2019,Cabeceiras de Basto,64.6
2019,Cadaval,75.6
2019,Caldas da Rainha,198.9
2019,Calheta [R.A.A.],27.5
2019,Calheta [R.A.M.],96.9
2019,Câmara de Lobos,615.5
2019,Caminha,116.0
2019,Campo Maior,33.0
2019,Cantanhede,88.1
2019,Carrazeda de Ansiães,20.1
2019,Carregal do Sal,78.1
2019,Cartaxo,145.3
2019,Cascais,2206.2
2019,Castanheira de Pêra,40.7
2019,Castelo Branco,36.7
2019,Castelo de Paiva,136.2
2019,Castelo de Vide,11.9
2019,Castro Daire,36.5
2019,Castro Marim,21.4
2019,Castro Verde,12.3
2019,Celorico da Beira,26.9
2019,Celorico de Basto,97.8
2019,Chamusca,11.6
2019,Chaves,63.9
2019,Cinfães,75.1
2019,Coimbra,447.3
2019,Condeixa-a-Nova,121.0
2019,Constância,47.5
2019,Coruche,15.8
2019,Corvo,22.2
2019,Covilhã,84.8
2019,Crato,8.2
2019,Cuba,25.6
2019,Elvas,33.2
2019,Entroncamento,1455.6
2019,Espinho,1484.6
2019,Esposende,365.3
2019,Estarreja,242.9
2019,Estremoz,24.9
2019,Évora,41.5
2019,Fafe,221.7
2019,Faro,335.8
2019,Felgueiras,485.6
2019,Ferreira do Alentejo,11.8
2019,Ferreira do Zêzere,41.0
2019,Figueira da Foz,155.5
2019,Figueira de Castelo Rodrigo,10.4
2019,Figueiró dos Vinhos,30.9
2019,Fornos de Algodres,33.9
2019,Freixo de Espada à Cinta,13.7
2019,Fronteira,11.9
2019,Funchal,1390.3
2019,Fundão,38.0
2019,Gavião,11.6
2019,Góis,14.6
2019,Golegã,63.9
2019,Gondomar,1249.0
2019,Gouveia,41.0
2019,Grândola,16.8
2019,Guarda,56.8
2019,Guimarães,651.7
2019,Horta,82.9
2019,Idanha-a-Nova,6.0
2019,Ílhavo,528.6
2019,Lagoa,265.5
2019,Lagoa [R.A.A.],309.5
2019,Lagos,155.0
2019,Lajes das Flores,20.2
2019,Lajes do Pico,28.1
2019,Lamego,148.5
2019,Leiria,226.7
2019,Lisboa,5613.0
2019,Loulé,94.4
2019,Loures,1210.0
2019,Lourinhã,175.6
2019,Lousã,122.4
2019,Lousada,491.2
2019,Mação,16.0
2019,Macedo de Cavaleiros,20.6
2019,Machico,287.7
2019,Madalena,42.7
2019,Mafra,290.8
2019,Maia,1630.9
2019,Mangualde,83.7
2019,Manteigas,24.7
2019,Marco de Canaveses,245.5
2019,Marinha Grande,207.4
2019,Marvão,19.8
2019,Matosinhos,2792.4
2019,Mealhada,175.2
2019,Mêda,16.2
2019,Melgaço,33.5
2019,Mértola,4.9
2019,Mesão Frio,134.3
2019,Mira,97.4
2019,Miranda do Corvo,95.7
