year,region,scope,education_level,symbol,unit,value
2019,Abrantes,Município,Total,, euros,1109.4
2019,Águeda,Município,Total,, euros,1071.4
2019,Aguiar da Beira,Município,Total,, euros,818.6
2019,Alandroal,Município,Total,, euros,904.2
2019,Albergaria-a-Velha,Município,Total,, euros,1126.7
2019,Albufeira,Município,Total,, euros,1004.5
2019,Alcácer do Sal,Município,Total,, euros,989.7
2019,Alcanena,Município,Total,, euros,1096.0
2019,Alcobaça,Município,Total,, euros,1007.1
2019,Alcochete,Município,Total,, euros,2011.5
2019,Alcoutim,Município,Total,, euros,847.7
2019,Alenquer,Município,Total,, euros,1182.2
2019,Alfândega da Fé,Município,Total,, euros,866.8
2019,Alijó,Município,Total,, euros,921.8
2019,Aljezur,Município,Total,, euros,856.0
2019,Aljustrel,Município,Total,, euros,1184.3
2019,Almada,Município,Total,, euros,1160.8
2019,Almeida,Município,Total,, euros,835.4
2019,Almeirim,Município,Total,, euros,956.6
2019,Almodôvar,Município,Total,, euros,904.7
2019,Alpiarça,Município,Total,, euros,946.2
2019,Alter do Chão,Município,Total,, euros,882.1
2019,Alvaiázere,Município,Total,, euros,887.9
2019,Alvito,Município,Total,, euros,1003.3
2019,Amadora,Município,Total,, euros,1425.5
2019,Amarante,Município,Total,, euros,904.9
2019,Amares,Município,Total,, euros,932.6
2019,Anadia,Município,Total,, euros,1017.4
2019,Angra do Heroísmo,Município,Total,, euros,1052.8
2019,Ansião,Município,Total,, euros,939.7
2019,Arcos de Valdevez,Município,Total,, euros,891.9
2019,Arganil,Município,Total,, euros,861.1
2019,Armamar,Município,Total,, euros,876.6
2019,Arouca,Município,Total,, euros,933.6
2019,Arraiolos,Município,Total,, euros,972.0
2019,Arronches,Município,Total,, euros,898.8
2019,Arruda dos Vinhos,Município,Total,, euros,1096.2
2019,Aveiro,Município,Total,, euros,1243.3
2019,Avis,Município,Total,, euros,955.1
2019,Azambuja,Município,Total,, euros,1040.9
2019,Baião,Município,Total,, euros,866.5
2019,Barcelos,Município,Total,, euros,948.9
2019,Barrancos,Município,Total,, euros,825.4
2019,Barreiro,Município,Total,, euros,1107.8
2019,Batalha,Município,Total,, euros,1095.8
2019,Beja,Município,Total,, euros,1102.3
2019,Belmonte,Município,Total,, euros,856.0
2019,Benavente,Município,Total,, euros,1093.8
2019,Bombarral,Município,Total,, euros,934.5
2019,Borba,Município,Total,, euros,966.2
2019,Boticas,Município,Total,, euros,876.0
2019,Braga,Município,Total,, euros,1145.8
2019,Bragança,Município,Total,, euros,1019.6
2019,Cabeceiras de Basto,Município,Total,, euros,809.3
2019,Cadaval,Município,Total,, euros,974.0
2019,Caldas da Rainha,Município,Total,, euros,959.5
2019,Calheta [R.A.A.],Município,Total,, euros,902.7
2019,Calheta [R.A.M.],Município,Total,, euros,1154.4
2019,Câmara de Lobos,Município,Total,, euros,999.6
2019,Caminha,Município,Total,, euros,920.4
2019,Campo Maior,Município,Total,, euros,1282.0
2019,Cantanhede,Município,Total,, euros,1083.3
2019,Carrazeda de Ansiães,Município,Total,, euros,861.0
2019,Carregal do Sal,Município,Total,, euros,984.1
2019,Cartaxo,Município,Total,, euros,1028.7
2019,Cascais,Município,Total,, euros,1215.5
2019,Castanheira de Pêra,Município,Total,, euros,937.7
2019,Castelo Branco,Município,Total,, euros,994.6
2019,Castelo de Paiva,Município,Total,, euros,853.0
2019,Castelo de Vide,Município,Total,, euros,892.1
2019,Castro Daire,Município,Total,, euros,877.0
2019,Castro Marim,Município,Total,, euros,864.9
2019,Castro Verde,Município,Total,, euros,1796.2
2019,Celorico da Beira,Município,Total,, euros,979.2
2019,Celorico de Basto,Município,Total,, euros,794.4
2019,Chamusca,Município,Total,, euros,976.0
2019,Chaves,Município,Total,, euros,958.2
2019,Cinfães,Município,Total,, euros,919.2
2019,Coimbra,Município,Total,, euros,1182.4
2019,Condeixa-a-Nova,Município,Total,, euros,999.8
2019,Constância,Município,Total,, euros,1262.8
2019,Coruche,Município,Total,, euros,1012.8
2019,Corvo,Município,Total,, euros,1089.1
2019,Covilhã,Município,Total,, euros,987.9
2019,Crato,Município,Total,, euros,833.5
2019,Cuba,Município,Total,, euros,954.8
2019,Elvas,Município,Total,, euros,892.0
2019,Entroncamento,Município,Total,, euros,1151.1
2019,Espinho,Município,Total,, euros,1008.8
2019,Esposende,Município,Total,, euros,962.4
2019,Estarreja,Município,Total,, euros,1260.3
2019,Estremoz,Município,Total,, euros,998.2
2019,Évora,Município,Total,, euros,1122.0
2019,Fafe,Município,Total,, euros,858.4
2019,Faro,Município,Total,, euros,1170.3
2019,Felgueiras,Município,Total,, euros,892.8
2019,Ferreira do Alentejo,Município,Total,, euros,979.5
2019,Ferreira do Zêzere,Município,Total,, euros,961.0
2019,Figueira da Foz,Município,Total,, euros,1194.7
2019,Figueira de Castelo Rodrigo,Município,Total,, euros,855.2
2019,Figueiró dos Vinhos,Município,Total,, euros,871.6
