municipality,quarter_year,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm
Abrantes,1Q 2020,670.9939555555555,7.373559951159951,12.257142857142858,176.0,1.934065934065934
Abrantes,1Q 2021,642.9061055555555,7.143401172839506,12.695555555555554,282.3,3.1366666666666667
Abrantes,1Q 2022,721.7946916666666,8.019941018518518,13.406666666666666,133.3,1.4811111111111113
Abrantes,1Q 2023,721.7097972222223,8.01899774691358,12.734444444444444,132.8,1.4755555555555557
Abrantes,1Q 2024,639.1848138888889,7.024008943833945,13.785714285714286,454.40000000000003,4.993406593406593
Abrantes,1Q 2025,607.2261194444444,6.746956882716049,11.263333333333334,489.9,5.443333333333333
Abrantes,2Q 2020,969.7283472222223,10.656355463980464,13.016483516483516,221.8,2.4373626373626376
Abrantes,2Q 2021,1012.7873638888889,11.129531471306471,12.882417582417581,159.3,1.7505494505494508
Abrantes,2Q 2022,1014.2541361111112,11.145649847374848,14.394505494505495,115.1,1.2648351648351648
Abrantes,2Q 2023,1037.126261111111,11.39699188034188,13.506593406593405,124.4,1.367032967032967
Abrantes,2Q 2024,1010.2029111111111,11.101130891330891,13.989010989010989,134.0,1.4725274725274726
Abrantes,3Q 2020,1089.411361111111,11.84142783816425,13.86304347826087,68.1,0.7402173913043477
Abrantes,3Q 2021,1069.9209083333333,11.62957509057971,14.756521739130434,78.5,0.8532608695652174
Abrantes,3Q 2022,1076.0894555555556,11.696624516908212,13.43695652173913,113.9,1.2380434782608696
Abrantes,3Q 2023,1071.3006833333334,11.644572644927537,15.267391304347825,105.4,1.1456521739130436
Abrantes,3Q 2024,1074.2536861111112,11.67667050120773,16.155434782608694,33.9,0.3684782608695652
Abrantes,4Q 2019,598.1841611111112,6.50200175120773,13.745652173913042,367.7,3.9967391304347823
Abrantes,4Q 2020,636.2462138888889,6.915719716183575,12.094565217391304,353.9,3.8467391304347824
Abrantes,4Q 2021,694.8303111111111,7.552503381642512,13.216304347826087,196.3,2.133695652173913
Abrantes,4Q 2022,531.5122888888889,5.777307487922705,11.96195652173913,515.0,5.5978260869565215
Abrantes,4Q 2023,606.2477972222222,6.5896499698067625,11.470652173913043,327.8,3.5630434782608695
Abrantes,4Q 2024,672.9246555555555,7.314398429951691,12.819565217391306,249.0,2.7065217391304346
Aguiar da Beira,1Q 2020,649.7267027777777,7.139853876678877,13.650549450549452,254.4,2.795604395604396
Aguiar da Beira,1Q 2021,651.2921138888889,7.236579043209877,15.16,387.5,4.305555555555555
Aguiar da Beira,1Q 2022,692.4471277777777,7.693856975308641,13.575555555555555,120.30000000000001,1.336666666666667
Aguiar da Beira,1Q 2023,688.6398083333333,7.651553425925926,14.217777777777776,287.59999999999997,3.195555555555555
Aguiar da Beira,1Q 2024,560.0043555555555,6.153894017094017,14.392307692307693,513.3,5.64065934065934
Aguiar da Beira,1Q 2025,586.7845472222223,6.519828302469136,12.24888888888889,501.0,5.566666666666666
Aguiar da Beira,2Q 2020,1008.8543388888888,11.086311416361415,11.112087912087913,228.0,2.5054945054945055
Aguiar da Beira,2Q 2021,1016.3211222222222,11.168363980463981,11.820879120879122,179.1,1.968131868131868
Aguiar da Beira,2Q 2022,1018.5105972222223,11.192424145299146,12.641758241758243,138.9,1.5263736263736265
Aguiar da Beira,2Q 2023,1049.3718722222222,11.531559035409035,11.868131868131869,218.8,2.4043956043956047
Aguiar da Beira,2Q 2024,1004.8763611111111,11.042597374847375,12.552747252747253,249.3,2.7395604395604396
Aguiar da Beira,3Q 2020,1102.297111111111,11.98149033816425,11.490217391304347,90.3,0.9815217391304347
Aguiar da Beira,3Q 2021,1084.7444027777779,11.790700030193237,11.05,98.80000000000001,1.0739130434782609
Aguiar da Beira,3Q 2022,1089.7243611111112,11.844830012077296,11.447826086956523,92.0,1.0
Aguiar da Beira,3Q 2023,1088.7615138888889,11.834364281400966,10.414130434782608,91.0,0.9891304347826086
Aguiar da Beira,3Q 2024,1087.8969472222223,11.82496681763285,11.065217391304348,54.8,0.5956521739130435
Aguiar da Beira,4Q 2019,515.166575,5.599636684782609,14.755434782608695,615.1,6.685869565217391
Aguiar da Beira,4Q 2020,592.2647694444445,6.437660537439614,13.505434782608695,399.2,4.339130434782609
Aguiar da Beira,4Q 2021,641.4332,6.9721,13.701086956521738,235.0,2.5543478260869565
Aguiar da Beira,4Q 2022,492.0637,5.3485184782608695,13.221739130434784,715.0,7.771739130434782
Aguiar da Beira,4Q 2023,522.7372027777777,5.681926117149758,14.048913043478262,568.5,6.179347826086956
Aguiar da Beira,4Q 2024,632.0659527777777,6.870282095410627,12.75,340.1,3.696739130434783
Alandroal,1Q 2020,668.1228666666667,7.342009523809525,9.521978021978022,133.6,1.468131868131868
Alandroal,1Q 2021,671.4500083333334,7.460555648148149,10.372222222222222,182.1,2.0233333333333334
Alandroal,1Q 2022,719.0548444444445,7.989498271604939,9.998888888888889,110.0,1.2222222222222223
