year,region,scope,education_level,symbol,unit,value
2019,Abrantes,Município,01. Inferior ao 1.º ciclo,, euros,750.4
2019,Abrantes,Município,02. Básico - 1º Ciclo,, euros,939.7
2019,Abrantes,Município,03. Básico - 2º Ciclo,, euros,928.5
2019,Abrantes,Município,04. Básico - 3º Ciclo,, euros,933.5
2019,Abrantes,Município,05. Secundário,, euros,1027.3
2019,Abrantes,Município,07. Bacharelato,, euros,1787.9
2019,Abrantes,Município,08. Licenciatura,, euros,1673.5
2019,Abrantes,Município,09. Mestrado,, euros,1796.9
2019,Abrantes,Município,10. Doutoramento,, euros,1244.7
2019,Águeda,Município,01. Inferior ao 1.º ciclo,, euros,801.9
2019,Águeda,Município,02. Básico - 1º Ciclo,, euros,902.9
2019,Águeda,Município,03. Básico - 2º Ciclo,, euros,944.6
2019,Águeda,Município,04. Básico - 3º Ciclo,, euros,967.7
2019,Águeda,Município,05. Secundário,, euros,1030.0
2019,Águeda,Município,07. Bacharelato,, euros,1518.4
2019,Águeda,Município,08. Licenciatura,, euros,1537.5
2019,Águeda,Município,09. Mestrado,, euros,1396.1
2019,Águeda,Município,10. Doutoramento,, euros,2630.8
2019,Aguiar da Beira,Município,02. Básico - 1º Ciclo,, euros,763.6
2019,Aguiar da Beira,Município,03. Básico - 2º Ciclo,, euros,744.3
2019,Aguiar da Beira,Município,04. Básico - 3º Ciclo,, euros,790.1
2019,Aguiar da Beira,Município,05. Secundário,, euros,819.6
2019,Aguiar da Beira,Município,07. Bacharelato,, euros,1112.0
2019,Aguiar da Beira,Município,08. Licenciatura,, euros,1097.4
2019,Aguiar da Beira,Município,09. Mestrado,, euros,1159.6
2019,Alandroal,Município,01. Inferior ao 1.º ciclo,, euros,724.4
2019,Alandroal,Município,02. Básico - 1º Ciclo,, euros,786.5
2019,Alandroal,Município,03. Básico - 2º Ciclo,, euros,857.3
2019,Alandroal,Município,04. Básico - 3º Ciclo,, euros,806.6
2019,Alandroal,Município,05. Secundário,, euros,913.2
2019,Alandroal,Município,07. Bacharelato,, euros,1560.9
2019,Alandroal,Município,08. Licenciatura,, euros,1551.2
2019,Alandroal,Município,09. Mestrado,, euros,1491.5
2019,Albergaria-a-Velha,Município,01. Inferior ao 1.º ciclo,, euros,740.1
2019,Albergaria-a-Velha,Município,02. Básico - 1º Ciclo,, euros,933.0
2019,Albergaria-a-Velha,Município,03. Básico - 2º Ciclo,, euros,1015.7
2019,Albergaria-a-Velha,Município,04. Básico - 3º Ciclo,, euros,1006.2
2019,Albergaria-a-Velha,Município,05. Secundário,, euros,1083.4
2019,Albergaria-a-Velha,Município,07. Bacharelato,, euros,1655.6
2019,Albergaria-a-Velha,Município,08. Licenciatura,, euros,1659.9
2019,Albergaria-a-Velha,Município,09. Mestrado,, euros,1561.3
2019,Albergaria-a-Velha,Município,10. Doutoramento,, euros,1907.6
2019,Albufeira,Município,01. Inferior ao 1.º ciclo,, euros,710.9
2019,Albufeira,Município,02. Básico - 1º Ciclo,, euros,883.2
2019,Albufeira,Município,03. Básico - 2º Ciclo,, euros,911.3
2019,Albufeira,Município,04. Básico - 3º Ciclo,, euros,924.7
2019,Albufeira,Município,05. Secundário,, euros,1019.5
2019,Albufeira,Município,06. Curso técnico superior profissional,, euros,1244.8
2019,Albufeira,Município,07. Bacharelato,, euros,1459.3
2019,Albufeira,Município,08. Licenciatura,, euros,1374.5
2019,Albufeira,Município,09. Mestrado,, euros,1565.4
2019,Albufeira,Município,10. Doutoramento,, euros,1267.6
2019,Alcácer do Sal,Município,01. Inferior ao 1.º ciclo,, euros,799.7
