Designação,COD (NUTS2024),muni_norm,quarter_label,price_sqm,year,quarter,avg_income_eur,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university,temp_max_c_mean,temp_min_c_mean,sunshine_s_sum,wind_kmh_mean,precip_mm_sum,log_price_sqm,pop_10___14,pop_15___19,pop_20___24,pop_25___29,pop_30___34,pop_35___39,pop_40___44,pop_45___49,pop_5___9,pop_50___54,pop_55___59,pop_60___64,pop_65___69,pop_70___74,pop_75___79,pop_80___84,pop_85_ou_mais,pop_menos_de_5,pop_total,population_density_km2
Arcos de Valdevez,1111601,ARCOS DE VALDEVEZ,4ºT 2023,813.0,2023,4,1140.4,1.0,0.0,2.0,3.0,4.0,11.0,4.0,2.0,5.0,10.0,2.0,4.0,15.0,1.0,1.0,0.0,17.747826086956522,11.431521739130435,1755076.37,9.177173913043475,1405.1,6.70073110954781,688.0,874.0,982.0,894.0,928.0,999.0,1235.0,1310.0,640.0,1300.0,1292.0,1546.0,1739.0,1703.0,1580.0,1195.0,1371.0,583.0,20859.0,46.6
Caminha,1111602,CAMINHA,4ºT 2023,1318.0,2023,4,1069.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.83695652173913,12.041304347826086,1827696.25,12.670652173913044,1219.6,7.183870715062453,665.0,682.0,763.0,785.0,802.0,916.0,1048.0,1148.0,592.0,1134.0,1175.0,1234.0,1247.0,1168.0,997.0,764.0,785.0,537.0,16442.0,120.4
Paredes de Coura,1111605,PAREDES DE COURA,4ºT 2023,723.0,2023,4,1137.3,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,4.0,1.0,1.0,7.0,1.0,0.0,0.0,15.554347826086955,9.643478260869566,1699687.58,10.283695652173911,1237.1,6.583409222158765,339.0,409.0,403.0,346.0,423.0,496.0,544.0,643.0,300.0,607.0,622.0,613.0,639.0,590.0,614.0,370.0,490.0,261.0,8709.0,63.0
Ponte da Barca,1111606,PONTE DA BARCA,4ºT 2023,759.0,2023,4,1053.7,1.0,0.0,2.0,3.0,4.0,11.0,3.0,2.0,7.0,10.0,2.0,3.0,16.0,1.0,1.0,0.0,17.81086956521739,10.809782608695652,1796511.15,8.804347826086957,1300.5,6.63200177739563,431.0,511.0,550.0,569.0,520.0,592.0,681.0,771.0,384.0,804.0,808.0,826.0,810.0,745.0,724.0,534.0,574.0,344.0,11178.0,61.4
Ponte de Lima,1111607,PONTE DE LIMA,4ºT 2023,1128.0,2023,4,1148.3,0.0,0.0,1.0,2.0,3.0,15.0,2.0,2.0,3.0,13.0,6.0,2.0,39.0,2.0,1.0,2.0,17.918478260869566,11.628260869565215,1848039.31,11.21195652173913,1132.9,7.028201432058005,1767.0,2083.0,2318.0,2223.0,2113.0,2187.0,2736.0,3195.0,1492.0,3212.0,3055.0,2962.0,2543.0,2417.0,2131.0,1534.0,1717.0,1445.0,41130.0,128.4
Viana do Castelo,1111609,VIANA DO CASTELO,4ºT 2023,1289.0,2023,4,1341.1,2.0,0.0,2.0,5.0,3.0,20.0,2.0,6.0,7.0,24.0,12.0,4.0,66.0,16.0,1.0,4.0,17.380434782608695,12.923913043478262,1884254.38,16.10217391304348,948.8,7.161622002939187,3706.0,4028.0,4377.0,4441.0,4309.0,4746.0,5843.0,6618.0,3432.0,6341.0,6316.0,6494.0,6340.0,5449.0,4598.0,3256.0,3374.0,3112.0,86780.0,272.0
Vila Nova de Cerveira,1111610,VILA NOVA DE CERVEIRA,4ºT 2023,951.0,2023,4,1317.9,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,5.0,2.0,1.0,13.0,3.0,1.0,0.0,17.619565217391305,11.96195652173913,1802521.02,13.506521739130434,1219.9,6.85751406254539,374.0,464.0,494.0,476.0,544.0,570.0,626.0,722.0,336.0,669.0,633.0,582.0,637.0,604.0,526.0,346.0,397.0,327.0,9327.0,86.0
Amares,1120301,AMARES,4ºT 2023,1157.0,2023,4,1152.4,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,3.0,5.0,2.0,3.0,31.0,0.0,0.0,0.0,17.684782608695652,10.079347826086956,1832921.3,9.23913043478261,1044.7,7.053585727193677,898.0,1041.0,1168.0,1140.0,1124.0,1171.0,1367.0,1546.0,774.0,1454.0,1394.0,1349.0,1240.0,1057.0,854.0,616.0,637.0,748.0,19578.0,238.9
Barcelos,1120302,BARCELOS,4ºT 2023,1152.0,2023,4,1165.1,1.0,0.0,2.0,5.0,3.0,48.0,4.0,9.0,7.0,45.0,5.0,11.0,126.0,17.0,4.0,6.0,18.25,10.654347826086957,1864811.9,11.494565217391305,918.7,7.049254841255837,5285.0,6038.0,6975.0,7087.0,6496.0,6721.0,7781.0,9677.0,4649.0,9527.0,9097.0,8420.0,7351.0,6385.0,4854.0,3141.0,3303.0,4218.0,117005.0,308.8
Braga,1120303,BRAGA,4ºT 2023,1524.0,2023,4,1391.4,2.0,2.0,2.0,4.0,9.0,57.0,7.0,22.0,21.0,53.0,10.0,16.0,159.0,11.0,5.0,7.0,17.13586956521739,9.58804347826087,1872251.24,10.055434782608696,959.5,7.329093736246592,9582.0,10525.0,11563.0,11667.0,12595.0,13254.0,14905.0,16139.0,9086.0,15649.0,14679.0,13780.0,12072.0,10166.0,7507.0,4748.0,5171.0,8495.0,201583.0,1099.1
Esposende,1120306,ESPOSENDE,4ºT 2023,1518.0,2023,4,1160.4,1.0,1.0,1.0,2.0,4.0,12.0,1.0,1.0,8.0,11.0,3.0,4.0,32.0,1.0,1.0,0.0,17.99021739130435,11.716304347826089,1922331.32,14.77608695652174,933.6,7.325148957955575,1818.0,1891.0,2106.0,2101.0,2111.0,2297.0,2791.0,3002.0,1620.0,2769.0,2711.0,2576.0,2224.0,1929.0,1588.0,1015.0,1015.0,1565.0,37129.0,389.2
