Designation,count,mean,std,min,25%,50%,75%,max
Abrantes,22.0,562.27,77.86,475.0,503.25,538.5,620.75,760.0
Aguiar da Beira,22.0,509.42,224.77,253.0,313.75,414.0,767.21,830.73
Alandroal,22.0,498.91,122.8,281.0,444.0,500.5,535.5,714.0
Albergaria-a-Velha,22.0,935.77,145.02,752.0,811.0,880.0,1072.5,1194.0
Albufeira,22.0,2425.64,365.22,1956.0,2065.25,2397.0,2760.5,3040.0
Alcanena,22.0,504.32,82.32,443.0,460.0,479.5,499.5,789.0
Alcobaça,22.0,1077.27,185.72,826.0,897.75,1065.0,1256.5,1428.0
Alcochete,22.0,1831.27,267.81,1393.0,1559.0,1888.0,2062.0,2209.0
Alcoutim,22.0,693.04,131.99,509.0,519.0,756.5,792.01,861.0
Alcácer do Sal,22.0,1078.91,242.91,789.0,857.75,1039.5,1265.5,1595.0
Alenquer,22.0,1138.55,256.06,806.0,910.0,1109.5,1365.0,1576.0
Alfândega da Fé,22.0,434.65,155.76,284.0,329.5,407.0,495.25,868.76
Alijó,22.0,493.5,89.91,341.0,442.25,474.0,582.0,665.0
Aljezur,22.0,2349.09,556.89,1546.0,1798.25,2298.5,2908.75,3117.0
Aljustrel,22.0,554.86,81.8,451.0,492.25,545.0,613.75,741.0
Almada,22.0,2088.27,364.34,1533.0,1810.25,2059.0,2363.25,2742.0
Almeida,22.0,284.64,55.57,230.0,235.25,255.5,330.5,403.0
Almeirim,22.0,831.41,161.01,643.0,714.5,796.5,914.75,1210.0
Almodôvar,22.0,584.77,65.23,476.0,549.5,583.5,620.25,764.0
Alpiarça,22.0,725.82,165.97,571.0,591.25,620.5,882.5,1030.0
Alter do Chão,22.0,368.64,73.69,241.0,312.25,379.5,435.5,469.0
Alvaiázere,22.0,471.82,66.67,386.0,425.75,456.5,507.0,606.0
Alvito,22.0,699.92,146.5,443.0,580.25,748.74,805.96,1012.84
Amadora,22.0,1989.5,320.39,1500.0,1728.0,1956.5,2250.75,2568.0
Amarante,22.0,834.45,79.08,722.0,763.0,852.5,898.25,963.0
Amares,22.0,946.95,160.84,710.0,785.25,972.0,1101.0,1168.0
Anadia,22.0,677.41,75.38,542.0,627.25,671.5,747.5,790.0
Angra do Heroísmo,22.0,904.73,116.74,723.0,812.5,904.0,977.5,1152.0
Ansião,22.0,511.27,57.25,404.0,478.0,497.0,545.75,620.0
Arcos de Valdevez,22.0,781.36,106.59,635.0,706.5,761.5,808.25,1000.0
Arganil,22.0,500.27,47.67,416.0,467.75,500.0,538.25,579.0
Armamar,22.0,294.82,59.59,203.0,258.25,281.0,348.25,400.0
Arouca,22.0,832.0,128.31,667.0,695.75,837.5,920.0,1070.0
Arraiolos,22.0,690.68,104.94,505.0,610.0,687.0,788.5,855.0
Arronches,22.0,426.32,99.15,268.0,388.75,414.5,443.0,687.0
Arruda dos Vinhos,22.0,1372.86,246.43,1032.0,1167.0,1361.0,1483.5,1780.0
Aveiro,22.0,1605.27,327.58,1182.0,1351.0,1474.5,1916.5,2222.0
Avis,22.0,494.41,69.69,374.0,448.5,493.0,558.25,611.0
Azambuja,22.0,1086.45,147.03,865.0,956.75,1033.0,1208.5,1329.0
Baião,22.0,618.77,40.27,541.0,599.5,615.5,644.5,700.0
Barcelos,22.0,1060.41,168.18,835.0,913.75,1065.0,1151.75,1399.0
Barreiro,22.0,1418.36,328.54,948.0,1142.5,1387.5,1673.75,2037.0
Batalha,22.0,873.95,114.34,731.0,795.25,824.5,947.5,1143.0
Beja,22.0,837.36,92.88,677.0,759.75,852.5,919.25,995.0
Belmonte,22.0,512.0,88.12,391.0,442.25,487.0,592.75,679.0
Benavente,22.0,1131.45,254.77,781.0,920.75,1075.5,1343.5,1599.0
Bombarral,22.0,935.09,223.62,669.0,751.0,904.0,1102.5,1412.0
Borba,22.0,570.05,103.99,378.0,485.25,590.5,648.75,735.0
Boticas,22.0,607.64,185.46,260.0,475.75,547.0,805.96,868.76
Braga,22.0,1296.86,246.4,949.0,1082.0,1271.0,1513.0,1720.0
Bragança,22.0,814.64,89.51,682.0,741.0,818.5,886.75,986.0
Cabeceiras de Basto,22.0,694.05,71.66,575.0,631.5,707.0,753.75,801.0
Cadaval,22.0,810.55,160.62,578.0,686.75,820.0,907.0,1162.0
Caldas da Rainha,22.0,1273.86,256.22,921.0,1045.5,1259.5,1489.25,1715.0
Calheta,44.0,902.65,322.63,311.0,655.5,916.3,1197.25,1413.0
Caminha,22.0,1172.09,172.15,938.0,1000.0,1178.0,1313.0,1461.0
Campo Maior,22.0,503.05,42.03,446.0,468.0,488.5,530.0,610.0
Cantanhede,22.0,803.55,91.9,676.0,765.0,787.0,820.25,1042.0
Carrazeda de Ansiães,22.0,355.17,129.13,187.0,268.25,347.5,373.75,737.69
Carregal do Sal,22.0,489.64,47.27,379.0,455.0,494.5,526.5,571.0
Cartaxo,22.0,903.09,170.34,686.0,761.0,857.5,1065.75,1219.0
Cascais,22.0,3352.68,549.75,2588.0,2797.75,3323.5,3939.75,4190.0
Castanheira de Pêra,22.0,487.72,124.16,352.0,403.5,445.0,532.0,772.78
Castelo Branco,22.0,709.0,38.47,641.0,670.25,722.5,734.5,796.0
Castelo de Paiva,22.0,806.36,124.92,623.0,672.0,822.5,912.75,987.0
Castelo de Vide,22.0,443.18,93.35,244.0,394.25,421.5,490.0,680.0
Castro Daire,22.0,489.14,35.67,423.0,466.0,493.0,516.25,548.0
Castro Marim,22.0,1803.68,273.83,1395.0,1520.0,1908.5,2056.0,2152.0
Castro Verde,22.0,580.36,99.55,475.0,503.5,554.0,634.5,826.0
Celorico da Beira,22.0,322.55,47.76,214.0,298.0,336.0,356.0,398.0
Celorico de Basto,22.0,615.55,71.83,469.0,594.5,625.0,670.5,731.0
Chamusca,22.0,540.05,87.62,408.0,474.5,509.5,599.75,722.0
Chaves,22.0,854.45,93.06,679.0,792.25,882.5,914.75,1014.0
Cinfães,22.0,452.41,83.71,305.0,383.25,465.5,508.5,593.0
Coimbra,22.0,1538.5,200.48,1254.0,1345.0,1542.5,1732.0,1813.0
Condeixa-a-Nova,22.0,1069.5,177.27,835.0,941.25,1054.0,1188.5,1404.0
Constância,22.0,663.09,143.14,441.0,571.0,674.5,740.0,938.0
Coruche,22.0,840.82,172.76,616.0,725.75,815.0,884.5,1171.0
Covilhã,22.0,770.0,67.94,667.0,716.75,776.5,810.5,946.0
Crato,22.0,360.39,132.25,213.0,310.0,326.0,341.75,772.78
