,municipality,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm,windy_days,rainy_days,sunny_days,warm_days,quarter_num,quarter_ord,avg_income,people/km2,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,5 - 9,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 ou mais,Menos de 5,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university,log_price_sqm
0,Arcos de Valdevez,487.5212138888889,5.2991436292270535,9.177173913043475,1405.1,15.27282608695652,0,57,34,6,4,17,1140.4,46.6,688.0,874.0,982.0,894.0,928.0,999.0,1235.0,1310.0,640.0,1300.0,1292.0,1546.0,1739.0,1703.0,1580.0,1195.0,1371.0,583.0,1.0,0.0,2.0,3.0,4.0,11.0,4.0,2.0,5.0,10.0,2.0,4.0,15.0,1.0,1.0,0.0,6.70073110954781
4,Paredes de Coura,472.13543888888887,5.131906944444444,10.283695652173911,1237.1,13.446739130434782,0,57,34,3,4,17,1137.3,63.0,339.0,409.0,403.0,346.0,423.0,496.0,544.0,643.0,300.0,607.0,622.0,613.0,639.0,590.0,614.0,370.0,490.0,261.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,4.0,1.0,1.0,7.0,1.0,0.0,0.0,6.583409222158765
5,Ponte da Barca,499.030875,5.424248641304348,8.804347826086957,1300.5,14.13586956521739,0,57,35,7,4,17,1053.7,61.4,431.0,511.0,550.0,569.0,520.0,592.0,681.0,771.0,384.0,804.0,808.0,826.0,810.0,745.0,724.0,534.0,574.0,344.0,1.0,0.0,2.0,3.0,4.0,11.0,3.0,2.0,7.0,10.0,2.0,3.0,16.0,1.0,1.0,0.0,6.63200177739563
6,Ponte de Lima,513.3442527777778,5.579828834541063,11.21195652173913,1132.9,12.31413043478261,2,58,38,9,4,17,1148.3,128.4,1767.0,2083.0,2318.0,2223.0,2113.0,2187.0,2736.0,3195.0,1492.0,3212.0,3055.0,2962.0,2543.0,2417.0,2131.0,1534.0,1717.0,1445.0,0.0,0.0,1.0,2.0,3.0,15.0,2.0,2.0,3.0,13.0,6.0,2.0,39.0,2.0,1.0,2.0,7.028201432058005
7,Valença,549.0462972222223,5.967894535024155,13.494565217391305,386.7,4.203260869565217,1,54,27,1,4,17,1158.0,120.9,646.0,639.0,703.0,717.0,826.0,860.0,956.0,1049.0,572.0,994.0,983.0,935.0,942.0,961.0,795.0,534.0,542.0,505.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,3.0,7.0,6.0,4.0,23.0,5.0,1.0,1.0,6.851184927493743
8,Viana do Castelo,523.4039944444445,5.689173852657006,16.10217391304348,948.8,10.31304347826087,6,59,40,18,4,17,1341.1,272.0,3706.0,4028.0,4377.0,4441.0,4309.0,4746.0,5843.0,6618.0,3432.0,6341.0,6316.0,6494.0,6340.0,5449.0,4598.0,3256.0,3374.0,3112.0,2.0,0.0,2.0,5.0,3.0,20.0,2.0,6.0,7.0,24.0,12.0,4.0,66.0,16.0,1.0,4.0,7.161622002939187
9,Vila Nova de Cerveira,500.70028333333335,5.442394384057971,13.506521739130434,1219.9,13.259782608695652,3,59,33,11,4,17,1317.9,86.0,374.0,464.0,494.0,476.0,544.0,570.0,626.0,722.0,336.0,669.0,633.0,582.0,637.0,604.0,526.0,346.0,397.0,327.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,5.0,2.0,1.0,13.0,3.0,1.0,0.0,6.85751406254539
10,Amares,500.9804888888889,5.445440096618357,8.904347826086957,1196.5,13.005434782608695,0,56,40,0,4,17,1152.4,238.9,898.0,1041.0,1168.0,1140.0,1124.0,1171.0,1367.0,1546.0,774.0,1454.0,1394.0,1349.0,1240.0,1057.0,854.0,616.0,637.0,748.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,3.0,5.0,2.0,3.0,31.0,0.0,0.0,0.0,7.053585727193677
11,Barcelos,518.0033055555556,5.630470712560387,11.494565217391305,918.7,9.985869565217392,2,57,41,4,4,17,1165.1,308.8,5285.0,6038.0,6975.0,7087.0,6496.0,6721.0,7781.0,9677.0,4649.0,9527.0,9097.0,8420.0,7351.0,6385.0,4854.0,3141.0,3303.0,4218.0,1.0,0.0,2.0,5.0,3.0,48.0,4.0,9.0,7.0,45.0,5.0,11.0,126.0,17.0,4.0,6.0,7.049254841255837
12,Braga,520.0697888888889,5.652932487922705,10.055434782608696,959.5,10.429347826086955,2,55,43,3,4,17,1391.4,1099.1,9582.0,10525.0,11563.0,11667.0,12595.0,13254.0,14905.0,16139.0,9086.0,15649.0,14679.0,13780.0,12072.0,10166.0,7507.0,4748.0,5171.0,8495.0,2.0,2.0,2.0,4.0,9.0,57.0,7.0,22.0,21.0,53.0,10.0,16.0,159.0,11.0,5.0,7.0,7.329093736246592
