area,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university
Abrantes,1.0,0.0,1.0,5.0,2.0,10.0,7.0,0.0,19.0,22.0,10.0,6.0,47.0,12.0,10.0,1.0
Alandroal,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,6.0,5.0,7.0,3.0,15.0,1.0,0.0,0.0
Albergaria-a-Velha,1.0,0.0,2.0,4.0,1.0,32.0,3.0,3.0,6.0,22.0,6.0,15.0,75.0,15.0,6.0,2.0
Albufeira,2.0,0.0,0.0,1.0,1.0,16.0,2.0,6.0,4.0,18.0,9.0,7.0,44.0,7.0,2.0,0.0
Alcobaça,3.0,3.0,3.0,8.0,9.0,39.0,7.0,12.0,15.0,28.0,13.0,15.0,104.0,12.0,3.0,5.0
Alcochete,1.0,0.0,1.0,2.0,2.0,21.0,4.0,9.0,7.0,17.0,5.0,4.0,34.0,7.0,3.0,0.0
Alcoutim,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,6.0,2.0,3.0,2.0,6.0,1.0,0.0,0.0
Alcácer do Sal,1.0,0.0,2.0,3.0,0.0,9.0,2.0,0.0,6.0,8.0,8.0,5.0,27.0,4.0,2.0,0.0
Alfândega da Fé,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0
Alijó,0.0,0.0,1.0,5.0,2.0,6.0,1.0,0.0,1.0,7.0,3.0,3.0,22.0,3.0,4.0,0.0
Aljezur,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,6.0,4.0,3.0,3.0,13.0,0.0,0.0,0.0
Aljustrel,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,5.0,4.0,2.0,2.0,12.0,1.0,2.0,0.0
Almada,3.0,3.0,1.0,6.0,4.0,82.0,10.0,31.0,21.0,60.0,14.0,12.0,111.0,28.0,10.0,10.0
Almeida,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,5.0,2.0,10.0,3.0,8.0,6.0,1.0,0.0
Almeirim,1.0,3.0,2.0,3.0,3.0,13.0,5.0,2.0,7.0,10.0,6.0,5.0,28.0,2.0,6.0,1.0
