,municipality,house_price,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm,year,quarter_num,quarter_ord,log_price_sqm,avg_income,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university
0,Arcos de Valdevez,813.0,487.5212138888889,5.2991436292270535,9.177173913043475,1405.1,15.27282608695652,2023,4,17,6.70073110954781,1140.4,1.0,0.0,2.0,3.0,4.0,11.0,4.0,2.0,5.0,10.0,2.0,4.0,15.0,1.0,1.0,0.0
4,Paredes de Coura,723.0,472.13543888888887,5.131906944444444,10.283695652173911,1237.1,13.446739130434782,2023,4,17,6.583409222158765,1137.3,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,4.0,1.0,1.0,7.0,1.0,0.0,0.0
5,Ponte da Barca,759.0,499.030875,5.424248641304348,8.804347826086957,1300.5,14.13586956521739,2023,4,17,6.63200177739563,1053.7,1.0,0.0,2.0,3.0,4.0,11.0,3.0,2.0,7.0,10.0,2.0,3.0,16.0,1.0,1.0,0.0
6,Ponte de Lima,1128.0,513.3442527777778,5.579828834541063,11.21195652173913,1132.9,12.31413043478261,2023,4,17,7.028201432058005,1148.3,0.0,0.0,1.0,2.0,3.0,15.0,2.0,2.0,3.0,13.0,6.0,2.0,39.0,2.0,1.0,2.0
7,Valença,945.0,549.0462972222223,5.967894535024155,13.494565217391305,386.7,4.203260869565217,2023,4,17,6.851184927493743,1158.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,3.0,7.0,6.0,4.0,23.0,5.0,1.0,1.0
8,Viana do Castelo,1289.0,523.4039944444445,5.689173852657006,16.10217391304348,948.8,10.31304347826087,2023,4,17,7.161622002939187,1341.1,2.0,0.0,2.0,5.0,3.0,20.0,2.0,6.0,7.0,24.0,12.0,4.0,66.0,16.0,1.0,4.0
9,Vila Nova de Cerveira,951.0,500.70028333333335,5.442394384057971,13.506521739130434,1219.9,13.259782608695652,2023,4,17,6.85751406254539,1317.9,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,5.0,2.0,1.0,13.0,3.0,1.0,0.0
10,Amares,1157.0,500.9804888888889,5.445440096618357,8.904347826086957,1196.5,13.005434782608695,2023,4,17,7.053585727193677,1152.4,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,3.0,5.0,2.0,3.0,31.0,0.0,0.0,0.0
11,Barcelos,1152.0,518.0033055555556,5.630470712560387,11.494565217391305,918.7,9.985869565217392,2023,4,17,7.049254841255837,1165.1,1.0,0.0,2.0,5.0,3.0,48.0,4.0,9.0,7.0,45.0,5.0,11.0,126.0,17.0,4.0,6.0
12,Braga,1524.0,520.0697888888889,5.652932487922705,10.055434782608696,959.5,10.429347826086955,2023,4,17,7.329093736246592,1391.4,2.0,2.0,2.0,4.0,9.0,57.0,7.0,22.0,21.0,53.0,10.0,16.0,159.0,11.0,5.0,7.0
13,Esposende,1518.0,533.9809222222223,5.804140458937199,14.77608695652174,933.6,10.147826086956522,2023,4,17,7.325148957955575,1160.4,1.0,1.0,1.0,2.0,4.0,12.0,1.0,1.0,8.0,11.0,3.0,4.0,32.0,1.0,1.0,0.0
14,Terras de Bouro,823.0,498.61809166666666,5.419761865942029,8.179347826086957,1169.9,12.716304347826089,2023,4,17,6.71295620067707,1141.7,0.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,7.0,4.0,2.0,3.0,18.0,1.0,0.0,0.0
15,Vila Verde,1083.0,509.14480555555554,5.534182669082125,9.23913043478261,1044.7,11.355434782608697,2023,4,17,6.9874902470009905,1096.1,1.0,0.0,3.0,5.0,6.0,27.0,2.0,4.0,4.0,21.0,6.0,6.0,68.0,1.0,0.0,0.0
16,Cabeceiras de Basto,631.0,499.34591944444446,5.427673037439614,10.877173913043478,1128.9,12.270652173913044,2023,4,17,6.447305862541213,1016.1,0.0,0.0,1.0,2.0,0.0,6.0,1.0,0.0,8.0,6.0,2.0,2.0,17.0,1.0,0.0,0.0
17,Fafe,969.0,508.24579166666666,5.524410778985507,10.819565217391304,1009.8,10.97608695652174,2023,4,17,6.876264611890766,1065.0,0.0,0.0,1.0,1.0,1.0,15.0,2.0,3.0,7.0,11.0,3.0,3.0,49.0,1.0,1.0,1.0
18,Guimarães,1219.0,521.3514055555555,5.666863103864734,11.1,965.3,10.492391304347825,2023,4,17,7.105786129481271,1179.0,6.0,0.0,7.0,9.0,14.0,61.0,13.0,32.0,25.0,80.0,16.0,27.0,226.0,14.0,9.0,10.0
