Year,Region,Scope,Education_Level,Symbol,Unit,Value
2013,Abrantes,Município,Total,, euros,1000.8
2013,Águeda,Município,Total,, euros,931.4
2013,Aguiar da Beira,Município,Total,, euros,703.5
2013,Alandroal,Município,Total,, euros,837.4
2013,Albergaria-a-Velha,Município,Total,, euros,949.4
2013,Albufeira,Município,Total,, euros,878.1
2013,Alcácer do Sal,Município,Total,, euros,900.5
2013,Alcanena,Município,Total,, euros,985.2
2013,Alcobaça,Município,Total,, euros,866.7
2013,Alcochete,Município,Total,, euros,1542.2
2013,Alcoutim,Município,Total,, euros,768.1
2013,Alenquer,Município,Total,, euros,1058.5
2013,Alfândega da Fé,Município,Total,, euros,751.1
2013,Alijó,Município,Total,, euros,885.5
2013,Aljezur,Município,Total,, euros,808.8
2013,Aljustrel,Município,Total,, euros,1038.8
2013,Almada,Município,Total,, euros,1029.1
2013,Almeida,Município,Total,, euros,764.7
2013,Almeirim,Município,Total,, euros,889.8
2013,Almodôvar,Município,Total,, euros,799.1
2013,Alpiarça,Município,Total,, euros,897.4
2013,Alter do Chão,Município,Total,, euros,790.8
2013,Alvaiázere,Município,Total,, euros,793.2
2013,Alvito,Município,Total,, euros,970.5
2013,Amadora,Município,Total,, euros,1270.3
2013,Amarante,Município,Total,, euros,845.7
2013,Amares,Município,Total,, euros,826.1
2013,Anadia,Município,Total,, euros,925.7
2013,Ansião,Município,Total,, euros,817.0
2013,Arcos de Valdevez,Município,Total,, euros,802.3
2013,Arganil,Município,Total,, euros,780.5
2013,Armamar,Município,Total,, euros,733.5
2013,Arouca,Município,Total,, euros,758.7
2013,Arraiolos,Município,Total,, euros,872.4
2013,Arronches,Município,Total,, euros,775.6
2013,Arruda dos Vinhos,Município,Total,, euros,956.4
2013,Aveiro,Município,Total,, euros,1099.3
2013,Avis,Município,Total,, euros,864.1
2013,Azambuja,Município,Total,, euros,1135.7
2013,Baião,Município,Total,, euros,711.6
2013,Barcelos,Município,Total,, euros,801.8
2013,Barrancos,Município,Total,, euros,752.8
2013,Barreiro,Município,Total,, euros,1058.2
2013,Batalha,Município,Total,, euros,899.5
2013,Beja,Município,Total,, euros,1004.1
2013,Belmonte,Município,Total,, euros,734.0
2013,Benavente,Município,Total,, euros,999.9
2013,Bombarral,Município,Total,, euros,826.4
2013,Borba,Município,Total,, euros,898.8
2013,Boticas,Município,Total,, euros,722.7
2013,Braga,Município,Total,, euros,979.6
