municipality,house_price,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm,windy_days,rainy_days,sunny_days,warm_days,year,quarter_num,quarter_ord,avg_income,people/km2,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university,log_price_sqm,< 5,5 - 19,20 - 34,35 - 54,55 - 64,> 65,urban_cluster
Arcos de Valdevez,778.0,431.47245833333335,4.689918025362319,10.234782608695651,1927.1,20.946739130434786,0,71,25,3,2022,4,13,1079.2,46.3,1.0,0.0,2.0,3.0,4.0,11.0,4.0,2.0,5.0,10.0,2.0,4.0,15.0,1.0,1.0,0.0,6.656726524178391,577.0,2196.0,2685.0,4811.0,2900.0,7544.0,3
Paredes de Coura,587.0,435.5665944444444,4.734419504830917,11.191304347826089,1587.3,17.253260869565217,0,73,25,1,2022,4,13,1068.5,62.8,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,4.0,1.0,1.0,7.0,1.0,0.0,0.0,6.375024819828097,278.0,1031.0,1144.0,2291.0,1239.0,2693.0,3
Ponte da Barca,915.0,431.06767777777776,4.685518236714976,9.80108695652174,1846.1,20.066304347826087,0,72,27,1,2022,4,13,967.7,61.0,1.0,0.0,2.0,3.0,4.0,11.0,3.0,2.0,7.0,10.0,2.0,3.0,16.0,1.0,1.0,0.0,6.818924065275521,354.0,1302.0,1633.0,2837.0,1619.0,3360.0,3
Ponte de Lima,1142.0,466.0277388888889,5.065518900966183,11.375,1507.3,16.383695652173913,0,73,27,2,2022,4,13,1074.8,128.2,0.0,0.0,1.0,2.0,3.0,15.0,2.0,2.0,3.0,13.0,6.0,2.0,39.0,2.0,1.0,2.0,7.040536390215956,1462.0,5444.0,6540.0,11467.0,5910.0,10243.0,3
Valença,841.0,534.0791083333334,5.805207699275362,13.027173913043478,323.6,3.5173913043478264,0,53,30,0,2022,4,13,1070.4,118.9,0.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,3.0,7.0,6.0,4.0,23.0,5.0,1.0,1.0,6.734591659972948,501.0,1835.0,2177.0,3805.0,1930.0,3684.0,3
Viana do Castelo,1297.0,503.17522777777776,5.46929595410628,16.764130434782608,1265.9,13.759782608695652,10,66,30,1,2022,4,13,1246.0,270.4,2.0,0.0,2.0,5.0,3.0,20.0,2.0,6.0,7.0,24.0,12.0,4.0,66.0,16.0,1.0,4.0,7.167809184316444,3170.0,11209.0,12907.0,23704.0,12802.0,22463.0,0
Vila Nova de Cerveira,889.0,483.86655277777777,5.259419051932367,13.459782608695653,1404.5,15.266304347826088,1,73,24,2,2022,4,13,1238.5,84.7,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,5.0,2.0,1.0,13.0,3.0,1.0,0.0,6.790097235513905,342.0,1168.0,1458.0,2564.0,1192.0,2467.0,3
Amares,967.0,435.646775,4.735291032608695,10.196739130434782,1491.3,16.20978260869565,0,70,26,0,2022,4,13,1063.4,234.5,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,3.0,5.0,2.0,3.0,31.0,0.0,0.0,0.0,6.874198495453294,748.0,2719.0,3306.0,5512.0,2660.0,4272.0,3
Barcelos,1126.0,453.5551972222222,4.929947795893719,12.292391304347827,1290.2,14.02391304347826,0,72,27,3,2022,4,13,1091.8,308.0,1.0,0.0,2.0,5.0,3.0,48.0,4.0,9.0,7.0,45.0,5.0,11.0,126.0,17.0,4.0,6.0,7.026426808699636,4396.0,16190.0,20469.0,34087.0,17271.0,24271.0,0
Braga,1330.0,459.7134527777778,4.996885356280194,11.233695652173912,1345.5,14.625,0,72,26,1,2022,4,13,1286.0,1081.0,2.0,2.0,2.0,4.0,9.0,57.0,7.0,22.0,21.0,53.0,10.0,16.0,159.0,11.0,5.0,7.0,7.1929342212158,8607.0,29071.0,35182.0,59489.0,27845.0,38061.0,2
Esposende,1359.0,484.1474222222223,5.262471980676329,15.51195652173913,1217.9,13.23804347826087,3,70,30,3,2022,4,13,1064.6,382.2,1.0,1.0,1.0,2.0,4.0,12.0,1.0,1.0,8.0,11.0,3.0,4.0,32.0,1.0,1.0,0.0,7.214504414151143,1567.0,5291.0,6151.0,10707.0,5207.0,7539.0,3
Terras de Bouro,845.0,426.3112888888889,4.633818357487923,9.406521739130437,1675.3,18.20978260869565,0,71,25,0,2022,4,13,1054.1,22.9,0.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,7.0,4.0,2.0,3.0,18.0,1.0,0.0,0.0,6.739336627357174,179.0,782.0,910.0,1583.0,1021.0,1891.0,3
Vila Verde,1013.0,437.7231805555556,4.757860658212561,10.47391304347826,1439.1,15.642391304347823,0,72,26,1,2022,4,13,1012.5,207.8,1.0,0.0,3.0,5.0,6.0,27.0,2.0,4.0,4.0,21.0,6.0,6.0,68.0,1.0,0.0,0.0,6.920671504248683,1952.0,6843.0,8024.0,13689.0,6441.0,10572.0,0
Cabeceiras de Basto,801.0,442.58686944444446,4.81072684178744,10.977173913043478,1348.8,14.660869565217393,0,70,27,0,2022,4,13,922.0,64.1,0.0,0.0,1.0,2.0,0.0,6.0,1.0,0.0,8.0,6.0,2.0,2.0,17.0,1.0,0.0,0.0,6.68586094706836,500.0,2229.0,2561.0,4184.0,2336.0,3699.0,3
Fafe,875.0,455.3495388888889,4.949451509661836,10.789130434782608,1139.5,12.38586956521739,0,70,26,0,2022,4,13,981.2,220.7,0.0,0.0,1.0,1.0,1.0,15.0,2.0,3.0,7.0,11.0,3.0,3.0,49.0,1.0,1.0,1.0,6.774223886357614,1738.0,6219.0,7760.0,13661.0,7305.0,11667.0,3
Guimarães,1115.0,467.9528861111111,5.086444414251208,11.808695652173911,1118.5,12.157608695652174,0,68,23,1,2022,4,13,1103.6,649.4,6.0,0.0,7.0,9.0,14.0,61.0,13.0,32.0,25.0,80.0,16.0,27.0,226.0,14.0,9.0,10.0,7.016609683894219,6266.0,20838.0,26480.0,45538.0,24168.0,33204.0,2
Mondim de Basto,593.0,468.6508777777778,5.094031280193237,9.618478260869566,1055.8,11.47608695652174,0,68,25,0,2022,4,13,902.8,37.2,0.0,0.0,0.0,2.0,1.0,5.0,2.0,0.0,4.0,4.0,2.0,1.0,19.0,1.0,0.0,0.0,6.385194398997726,187.0,754.0,946.0,1574.0,1056.0,1892.0,3
