Feature,Feature Importance
< 5,0.1304632739849352
people/km2_scaled,0.10746675335738903
6 - 19,0.08451251943206865
> 65,0.07552999899336937
35 - 54,0.06936281410303945
kindergarten_scaled,0.05561998050618614
20 - 34,0.049913091151909714
post_office_scaled,0.047070492260511486
mall_scaled,0.040140001631502026
avg_income_scaled,0.035996945894807134
station_scaled,0.029743305567616538
school_scaled,0.02875560230127831
windspeed_mean_kmh_scaled,0.027689482391643667
pharmacy_scaled,0.02604653535296037
university_scaled,0.023811104366142775
55 - 64,0.022322597055702467
warm_days_scaled,0.021664550310881353
courthouse_scaled,0.01572630248335668
police_scaled,0.011886413937113016
fire_station_scaled,0.011186045829958954
windy_days_scaled,0.01064462739405848
total_sunshine_h_scaled,0.009859327846000968
theatre_scaled,0.009840667204800048
library_scaled,0.009738606236323695
museum_scaled,0.009598652370550461
cinema_scaled,0.00786890229526799
rainy_days_scaled,0.006422950855344595
mean_sunshine_h_scaled,0.006358049113105165
hospital_scaled,0.004604900623827632
mean_precipitation_mm_scaled,0.0036736782257877645
total_precipitation_mm_scaled,0.0036689050556253295
sunny_days_scaled,0.002645925324684148
college_scaled,0.0001669965422515117
